edad,salario,años_experiencia,score_credito,num_productos,ciudad,estado_civil,nivel_educacion,aprobado
39.96714153011233,50191.34948682988,2.264264317305845,746.2483624066854,2.0,Valencia,Casado,Universidad,1.0
33.61735698828815,28521.308936101857,8.76511862023578,,4.0,Valencia,Divorciado,Universidad,0.0
41.47688538100692,79777.22818664066,14.156507239611814,627.9373942409233,4.0,Sevilla,Soltero,Universidad,0.0
50.23029856408026,,15.75747522961311,850.0,1.0,Sevilla,Casado,Universidad,0.0
32.658466252766644,17462.527177431544,9.721641912798367,765.839251192249,4.0,Madrid,Soltero,Universidad,0.0
32.6586304305082,40628.53410816108,10.212053701975561,,0.0,Barcelona,Casado,Universidad,0.0
50.79212815507391,61300.86000713549,12.254557603848358,786.4243614734227,3.0,Sevilla,Casado,Universidad,0.0
42.67434729152909,84285.39222238438,15.560763494869423,642.8625747582723,3.0,Sevilla,Divorciado,Universidad,0.0
30.305256140650478,28869.988333882196,,719.6563547642464,2.0,Barcelona,Divorciado,Universidad,1.0
40.42560043585965,62276.561663928005,12.179261073969803,800.8004004293259,3.0,Barcelona,Soltero,Universidad,0.0
30.365823071875376,35622.964006734896,7.151081177796157,645.0395415335166,1.0,Sevilla,Divorciado,Primaria,0.0
30.34270246429743,33312.44567140058,4.9903048460188595,535.4407385958186,4.0,Barcelona,Casado,Universidad,0.0
37.41962271566034,56490.62469382744,7.508839673023079,850.0,3.0,Madrid,Casado,Primaria,0.0
18.0,50320.17852724241,17.120222426689345,816.4583471201947,0.0,Valencia,Soltero,Universidad,1.0
18.0,16511.360225672073,12.287929695024213,691.2743986817054,2.0,Valencia,Soltero,Universidad,0.0
29.377124707590273,75983.4000383308,5.226993395210706,785.3421451492115,1.0,Sevilla,Casado,Posgrado,1.0
24.87168879665576,72406.0890019091,12.540172117279129,663.0613267936316,0.0,Sevilla,Divorciado,Primaria,1.0
38.142473325952736,26561.5151758099,5.426074033269145,709.697017676085,3.0,Madrid,Divorciado,Universidad,1.0
25.91975924478789,44262.88377075306,11.055893153495136,685.571205736326,1.0,,Soltero,Universidad,1.0
20.876962986647086,46491.04968430388,5.953321381575205,667.1055914642698,1.0,Sevilla,Soltero,Secundaria,0.0
49.65648768921554,41371.060055976326,5.079922537666619,735.9302580085755,1.0,Valencia,Casado,Primaria,1.0
32.74223699513465,27580.035074335603,18.381398330038813,579.1821176354412,4.0,Madrid,Casado,Universidad,0.0
35.67528204687924,25956.784928833233,7.984315793544814,674.8419169234421,3.0,,Soltero,Universidad,1.0
20.752518137865433,35854.44992353604,12.189482835423204,731.4479472483405,0.0,Barcelona,Casado,Secundaria,1.0
29.556172754748175,65275.0075759705,9.51124297882522,850.0,1.0,Sevilla,Soltero,Universidad,0.0
36.10922589709866,47657.72794203482,5.63845996252829,583.2465784687304,4.0,Sevilla,,Universidad,1.0
23.490064225776973,30172.700390264956,8.380097801542508,752.0553057732427,2.0,Madrid,Divorciado,Universidad,0.0
38.75698018345672,,5.662695174135454,763.0148776427861,1.0,Valencia,Soltero,Posgrado,0.0
28.99361310081195,8740.552569316042,24.119032952464217,512.3281269317263,2.0,Sevilla,Casado,Universidad,0.0
32.083062502067236,64497.57145316192,13.15017596600547,741.0532014409251,1.0,Valencia,Divorciado,Posgrado,0.0
28.98293387770603,15216.61361013713,9.430733950282129,788.028507898378,3.0,Madrid,Divorciado,Universidad,1.0
53.522781845089376,30296.25932629014,11.902333388095153,758.8652679382435,3.0,Sevilla,Casado,Secundaria,1.0
34.86502775262066,20747.168379057013,12.777867966872487,691.6072745127325,6.0,Valencia,Casado,Secundaria,0.0
24.422890710440996,19008.837130319607,12.792812829226099,733.3240036522429,1.0,Madrid,Casado,Universidad,0.0
43.225449121031886,64887.70203103506,12.55270003654231,716.984469724903,3.0,Valencia,Soltero,Universidad,1.0
